Driver,Titles,Season(s)
Michael Schumacher,7,"1994, 1995, 2000, 2001, 2002, 2003, 2004"
 Lewis Hamilton,7,"2008, 2014, 2015, 2017, 2018, 2019, 2020"
 Juan Manuel Fangio,5,"1951, 1954, 1955, 1956, 1957"
 Alain Prost,4,"1985, 1986, 1989, 1993"
 Sebastian Vettel,4,"2010, 2011, 2012, 2013"
 Jack Brabham,3,"1959, 1960, 1966"
 Jackie Stewart,3,"1969, 1971, 1973"
 Niki Lauda,3,"1975, 1977, 1984"
 Nelson Piquet,3,"1981, 1983, 1987"
 Ayrton Senna,3,"1988, 1990, 1991"
 Alberto Ascari,2,"1952, 1953"
 Graham Hill,2,"1962, 1968"
 Jim Clark,2,"1963, 1965"
 Emerson Fittipaldi,2,"1972, 1974"
 Mika Häkkinen,2,"1998, 1999"
 Fernando Alonso,2,"2005, 2006"
 Max Verstappen,2,"2021, 2022"
 Giuseppe Farina,1,1950
 Mike Hawthorn,1,1958
 Phil Hill,1,1961
 John Surtees,1,1964
 Denny Hulme,1,1967
 Jochen Rindt,1,1970
 James Hunt,1,1976
 Mario Andretti,1,1978
 Jody Scheckter,1,1979
 Alan Jones,1,1980
 Keke Rosberg,1,1982
 Nigel Mansell,1,1992
 Damon Hill,1,1996
 Jacques Villeneuve,1,1997
 Kimi Räikkönen,1,2007
 Jenson Button,1,2009
 Nico Rosberg,1,2016